"imid","group","TrustGeneral","TrustChannel","AttentionGeneral","Attention","PolAttention","IAffairsAttention","PublicHealthAttention","ScienceAttention","EconomyAttention","SportsAttention","EntAttention","CelAttention","PerceivedLackDiversity","Customization","PolInt","PolOr"
4096459,"GA",4.57142857142857,3.8,4,4,4,4,4,4,4,4,4,4,5.5,5,4,9
172978,"GA",4.14285714285714,4.6,3,3,3,4,5,4,4,4,4,3,5,5,4,6
42267,"GA",4.85714285714286,4,4,4,4,4,4,4,4,4,1,1,6.5,4,5,3
4516689,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42254,"GA",4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,8
4674504,"GA",3.71428571428571,2.8,4,4,4,5,4,3,4,1,4,4,4,4,4,4
481233,"GA",3.57142857142857,3.6,4,3,2,2,4,1,2,1,3,1,4.5,1,3,7
177034,"GA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,7
4061,"GA",5.14285714285714,3.8,4,4,4,4,4,4,4,4,4,4,4,2,1,3
3082302,"GA",5,5.6,6,6,6,7,6,6,4,7,6,6,7,6,5,10
662063,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5021576,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5022258,"GA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
43734,"GA",5.42857142857143,4.8,4,3,2,1,1,1,1,1,5,1,7,2,5,5
5024188,"GA",4.28571428571429,4,4,4.5,5,4,5,2,5,3,5,5,5,3,4,7
43388,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2803603,"GA",5.14285714285714,4,1,1,1,3,6,4,3,4,6,5,4.5,1,2,5
4498229,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4016383,"GA",5,6,4,4,4,4,4,4,4,4,4,4,6,4,5,1
911792,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4156208,"GA",4.42857142857143,4.2,4,4,4,4,4,4,4,2,5,5,5,3,2,4
2466198,"GA",4.42857142857143,4.6,4,3.5,3,3,3,3,4,3,4,4,3,3,5,2
5057385,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644346,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46418,"GA",4.14285714285714,4.4,3,3.5,4,6,5,4,4,5,6,4,5,3,3,7
4437545,"GA",5.14285714285714,6,5,6,7,6,5,4,5,6,6,7,4.5,6,4,8
3861452,"GA",4.42857142857143,2.8,4,4,4,4,4,3,4,4,4,4,4,4,4,7
980722,"GA",2.71428571428571,2.4,3,3,3,4,3,2,2,3,5,4,3,3,3,6
169409,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
1865630,"GA",4.85714285714286,4.6,4,4,4,4,5,3,5,5,4,3,4.5,5,4,10
4763712,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4720798,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4632112,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2673441,"GA",4.42857142857143,4,4,4,4,4,4,4,4,4,4,4,5,4,3,8
4434405,"GA",4.57142857142857,4,1,1,1,1,1,1,1,1,1,1,4,1,3,5
4779377,"GA",5.14285714285714,4.2,4,4,4,5,3,5,3,1,4,1,5.5,3,3,3
3932293,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44904,"GA",4.28571428571429,4.4,2,3,4,4,4,2,4,4,4,4,4.5,1,3,2
4079474,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012731,"GA",5,4.8,4,4,4,4,4,4,4,4,4,4,4,1,4,8
4163899,"GA",3.85714285714286,4.4,1,1,1,1,1,1,2,4,1,2,1.5,5,5,2
2864497,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43603,"GA",5.57142857142857,4.6,4,4,4,3,5,2,5,6,4,1,5,3,3,8
3337224,"GA",4.85714285714286,4.8,4,4,4,3,4,4,3,3,4,4,5,5,3,7
4854387,"GA",3.57142857142857,2.4,2,4,6,6,5,4,5,5,4,4,6,4,5,2
4168662,"GA",4.42857142857143,3.4,4,4.5,5,4,5,4,4,6,4,4,5,5,4,8
167056,"GA",3.71428571428571,3.8,2,3,4,5,4,2,5,6,1,1,4,6,4,4
44208,"GA",4,4.8,5,4,3,3,4,4,2,4,2,2,3.5,3,2,5
4509105,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4810654,"GA",4.14285714285714,4.4,1,1.5,2,2,2,2,2,1,2,2,3,1,4,6
5022410,"GA",5.28571428571429,6.2,4,4,4,4,4,4,4,3,4,4,5,2,2,7
166735,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170872,"GA",5,4.6,4,4,4,4,4,4,5,5,5,5,5,4,4,7
2880397,"GA",3.57142857142857,4.6,4,4,4,4,4,4,4,4,4,4,4,4,5,9
3821044,"GA",4.42857142857143,2.8,4,3.5,3,3,5,4,2,3,2,1,4,2,3,4
1774131,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46107,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53389,"GA",4,4,1,2.5,4,4,4,4,4,4,4,4,4,1,3,6
5030433,"GA",4.42857142857143,4.6,5,4.5,4,4,5,5,5,5,5,5,4.5,4,4,7
3846618,"GA",4.14285714285714,4.6,5,5,5,5,5,5,5,5,5,5,5,5,4,4
4123581,"GA",4.42857142857143,3.6,4,3.5,3,3,5,4,4,4,4,4,4.5,5,3,2
4073820,"GA",5,4.2,4,3.5,3,3,3,3,3,4,3,4,4,4,4,5
4418295,"GA",6,4.8,4,4,4,4,5,4,3,4,6,7,5,4,3,6
5029396,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174043,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3861380,"GA",5,4.6,4,4.5,5,4,5,4,6,3,4,3,4.5,4,3,6
175178,"GA",4,3.6,5,4,3,4,4,4,3,4,5,5,4,4,4,4
4491681,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173454,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026718,"GA",4.42857142857143,4,4,3,2,2,2,2,2,2,2,2,6,3,4,8
3854463,"GA",4.57142857142857,4.6,4,2.5,1,1,1,1,1,1,1,1,4,1,5,5
118275,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45043,"GA",5.71428571428571,6.2,4,5,6,4,5,5,5,5,4,5,6,3,4,7
4149835,"GA",4,4.2,4,4,4,4,4,5,4,4,3,3,4,4,3,8
5057352,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
875901,"GA",5.57142857142857,6,6,5.5,5,6,6,6,4,6,6,6,5.5,6,4,7
4421216,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4498844,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5029762,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4095844,"GA",4.85714285714286,3.6,5,4,3,4,3,3,5,5,4,5,3.5,5,2,6
3981476,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3982088,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3169557,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3235893,"GA",4.57142857142857,3.8,4,3.5,3,2,4,2,4,2,1,1,4,4,3,3
38808,"GA",5.14285714285714,4.8,4,4,4,4,4,4,4,4,4,4,5,5,3,5
4721020,"GA",5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,8
46710,"GA",4.57142857142857,4.2,5,4,3,5,4,4,5,6,5,4,5,5,4,2
3113025,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4731402,"GA",5.71428571428571,5.6,6,6,6,6,5,5,6,6,6,6,6,6,4,8
484086,"GA",4.28571428571429,4.2,4,4,4,4,3,4,2,4,1,3,4,2,3,7
3235222,"GA",4.42857142857143,4.2,3,2.5,2,2,4,1,4,4,4,7,4,2,1,5
2930896,"GA",4.71428571428571,4,4,3.5,3,4,5,3,4,5,5,2,4.5,2,2,4
878413,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864186,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172787,"GA",5.57142857142857,5,4,3.5,3,4,5,3,4,6,4,5,5,4,3,5
4538116,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2765141,"GA",4.28571428571429,4,4,4,4,4,4,5,4,3,4,2,4,4,3,5
4639273,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009904,"GA",3.71428571428571,3.8,4,4,4,3,4,5,3,4,4,2,6,3,2,5
175461,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2619902,"GA",5.14285714285714,5.4,7,6.5,6,7,6,5,5,3,6,6,5,4,4,8
4797228,"GA",5.57142857142857,5,4,3.5,3,3,5,2,3,3,4,2,6,2,4,8
4328948,"GA",4.28571428571429,3.6,4,4,4,4,4,4,4,4,4,4,4,3,3,8
920458,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4017147,"GA",5.14285714285714,4.4,4,4,4,4,5,3,4,4,5,4,4.5,5,2,9
170386,"GA",4.71428571428571,3.6,4,4.5,5,4,5,3,5,4,4,4,4.5,2,4,5
48395,"GA",5,4,3,3,3,3,4,4,4,4,5,5,5,2,4,7
43669,"GA",5.14285714285714,6,4,4.5,5,4,5,5,5,3,4,5,5.5,5,4,9
3085737,"GA",3.71428571428571,4.6,5,5,5,4,4,5,4,5,4,4,4.5,5,4,8
974953,"GA",4.57142857142857,4.2,3,2,1,1,1,1,1,1,1,1,4,2,4,7
3135565,"GA",6,5.2,5,4.5,4,5,4,5,5,5,5,5,4.5,4,3,6
4745814,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4096459,"GA",4.57142857142857,3.8,4,4,4,4,4,4,4,4,4,4,5.5,5,4,9
172978,"GA",4.14285714285714,4.6,3,3,3,4,5,4,4,4,4,3,5,5,4,6
42267,"GA",4.85714285714286,4,4,4,4,4,4,4,4,4,1,1,6.5,4,5,3
4516689,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42254,"GA",4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,8
4674504,"GA",3.71428571428571,2.8,4,4,4,5,4,3,4,1,4,4,4,4,4,4
481233,"GA",3.57142857142857,3.6,4,3,2,2,4,1,2,1,3,1,4.5,1,3,7
177034,"GA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,7
4061,"GA",5.14285714285714,3.8,4,4,4,4,4,4,4,4,4,4,4,2,1,3
3082302,"GA",5,5.6,6,6,6,7,6,6,4,7,6,6,7,6,5,10
662063,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5021576,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5022258,"GA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
43734,"GA",5.42857142857143,4.8,4,3,2,1,1,1,1,1,5,1,7,2,5,5
5024188,"GA",4.28571428571429,4,4,4.5,5,4,5,2,5,3,5,5,5,3,4,7
43388,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2803603,"GA",5.14285714285714,4,1,1,1,3,6,4,3,4,6,5,4.5,1,2,5
4498229,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4016383,"GA",5,6,4,4,4,4,4,4,4,4,4,4,6,4,5,1
911792,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4156208,"GA",4.42857142857143,4.2,4,4,4,4,4,4,4,2,5,5,5,3,2,4
2466198,"GA",4.42857142857143,4.6,4,3.5,3,3,3,3,4,3,4,4,3,3,5,2
5057385,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644346,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46418,"GA",4.14285714285714,4.4,3,3.5,4,6,5,4,4,5,6,4,5,3,3,7
4437545,"GA",5.14285714285714,6,5,6,7,6,5,4,5,6,6,7,4.5,6,4,8
3861452,"GA",4.42857142857143,2.8,4,4,4,4,4,3,4,4,4,4,4,4,4,7
980722,"GA",2.71428571428571,2.4,3,3,3,4,3,2,2,3,5,4,3,3,3,6
169409,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
1865630,"GA",4.85714285714286,4.6,4,4,4,4,5,3,5,5,4,3,4.5,5,4,10
4763712,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4720798,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4632112,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2673441,"GA",4.42857142857143,4,4,4,4,4,4,4,4,4,4,4,5,4,3,8
4434405,"GA",4.57142857142857,4,1,1,1,1,1,1,1,1,1,1,4,1,3,5
4779377,"GA",5.14285714285714,4.2,4,4,4,5,3,5,3,1,4,1,5.5,3,3,3
3932293,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44904,"GA",4.28571428571429,4.4,2,3,4,4,4,2,4,4,4,4,4.5,1,3,2
4079474,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012731,"GA",5,4.8,4,4,4,4,4,4,4,4,4,4,4,1,4,8
4163899,"GA",3.85714285714286,4.4,1,1,1,1,1,1,2,4,1,2,1.5,5,5,2
2864497,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43603,"GA",5.57142857142857,4.6,4,4,4,3,5,2,5,6,4,1,5,3,3,8
3337224,"GA",4.85714285714286,4.8,4,4,4,3,4,4,3,3,4,4,5,5,3,7
4854387,"GA",3.57142857142857,2.4,2,4,6,6,5,4,5,5,4,4,6,4,5,2
4168662,"GA",4.42857142857143,3.4,4,4.5,5,4,5,4,4,6,4,4,5,5,4,8
167056,"GA",3.71428571428571,3.8,2,3,4,5,4,2,5,6,1,1,4,6,4,4
44208,"GA",4,4.8,5,4,3,3,4,4,2,4,2,2,3.5,3,2,5
4509105,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4810654,"GA",4.14285714285714,4.4,1,1.5,2,2,2,2,2,1,2,2,3,1,4,6
5022410,"GA",5.28571428571429,6.2,4,4,4,4,4,4,4,3,4,4,5,2,2,7
166735,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170872,"GA",5,4.6,4,4,4,4,4,4,5,5,5,5,5,4,4,7
2880397,"GA",3.57142857142857,4.6,4,4,4,4,4,4,4,4,4,4,4,4,5,9
3821044,"GA",4.42857142857143,2.8,4,3.5,3,3,5,4,2,3,2,1,4,2,3,4
1774131,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46107,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53389,"GA",4,4,1,2.5,4,4,4,4,4,4,4,4,4,1,3,6
5030433,"GA",4.42857142857143,4.6,5,4.5,4,4,5,5,5,5,5,5,4.5,4,4,7
3846618,"GA",4.14285714285714,4.6,5,5,5,5,5,5,5,5,5,5,5,5,4,4
4123581,"GA",4.42857142857143,3.6,4,3.5,3,3,5,4,4,4,4,4,4.5,5,3,2
4073820,"GA",5,4.2,4,3.5,3,3,3,3,3,4,3,4,4,4,4,5
4418295,"GA",6,4.8,4,4,4,4,5,4,3,4,6,7,5,4,3,6
5029396,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174043,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3861380,"GA",5,4.6,4,4.5,5,4,5,4,6,3,4,3,4.5,4,3,6
175178,"GA",4,3.6,5,4,3,4,4,4,3,4,5,5,4,4,4,4
4491681,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173454,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026718,"GA",4.42857142857143,4,4,3,2,2,2,2,2,2,2,2,6,3,4,8
3854463,"GA",4.57142857142857,4.6,4,2.5,1,1,1,1,1,1,1,1,4,1,5,5
118275,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45043,"GA",5.71428571428571,6.2,4,5,6,4,5,5,5,5,4,5,6,3,4,7
4149835,"GA",4,4.2,4,4,4,4,4,5,4,4,3,3,4,4,3,8
5057352,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
875901,"GA",5.57142857142857,6,6,5.5,5,6,6,6,4,6,6,6,5.5,6,4,7
4421216,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4498844,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5029762,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4095844,"GA",4.85714285714286,3.6,5,4,3,4,3,3,5,5,4,5,3.5,5,2,6
3981476,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3982088,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3169557,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3235893,"GA",4.57142857142857,3.8,4,3.5,3,2,4,2,4,2,1,1,4,4,3,3
38808,"GA",5.14285714285714,4.8,4,4,4,4,4,4,4,4,4,4,5,5,3,5
4721020,"GA",5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,8
46710,"GA",4.57142857142857,4.2,5,4,3,5,4,4,5,6,5,4,5,5,4,2
3113025,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4731402,"GA",5.71428571428571,5.6,6,6,6,6,5,5,6,6,6,6,6,6,4,8
484086,"GA",4.28571428571429,4.2,4,4,4,4,3,4,2,4,1,3,4,2,3,7
3235222,"GA",4.42857142857143,4.2,3,2.5,2,2,4,1,4,4,4,7,4,2,1,5
2930896,"GA",4.71428571428571,4,4,3.5,3,4,5,3,4,5,5,2,4.5,2,2,4
878413,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864186,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172787,"GA",5.57142857142857,5,4,3.5,3,4,5,3,4,6,4,5,5,4,3,5
4538116,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2765141,"GA",4.28571428571429,4,4,4,4,4,4,5,4,3,4,2,4,4,3,5
